E2-ADMM-HB,26,0.750000,0.475844,0.001528,56,0.001590
E-ADMM,26,0.750000,1.113533,0.001528,144,0.001590
E-ADMM-Nest,26,0.750000,0.336318,0.001528,41,0.001590
E-ADMM-HB,26,0.750000,0.337081,0.001527,43,0.001589
DY,26,0.500000,1.643483,0.002409,234,0.002711
DY-Nest,26,0.500000,0.649030,0.002409,92,0.002710
DY-HB,26,0.500000,0.562875,0.002409,78,0.002710
E2-ADMM,26,0.500000,1.438767,0.002409,191,0.002711
E2-ADMM-Nest,26,0.500000,0.556146,0.002409,73,0.002710
E2-ADMM-HB,26,0.500000,0.533322,0.002409,70,0.002710
E-ADMM,26,0.500000,1.438744,0.002409,193,0.002711
E-ADMM-Nest,26,0.500000,0.692880,0.002409,92,0.002710
E-ADMM-HB,26,0.500000,0.526716,0.002410,70,0.002711
DY,26,0.250000,3.519207,0.005176,501,0.007428
DY-Nest,26,0.250000,1.074684,0.005167,151,0.007405
DY-HB,26,0.250000,0.775473,0.005169,109,0.007411
E2-ADMM,26,0.250000,3.811421,0.005171,501,0.007417
E2-ADMM-Nest,26,0.250000,1.304180,0.005171,168,0.007420
E2-ADMM-HB,26,0.250000,0.768159,0.005170,101,0.007413
E-ADMM,26,0.250000,3.686728,0.005177,501,0.007429
E-ADMM-Nest,26,0.250000,1.270625,0.005171,173,0.007419
E-ADMM-HB,26,0.250000,0.739145,0.005170,100,0.007413
DY,28,0.750000,0.923200,0.001574,125,0.002757
DY-Nest,28,0.750000,0.487643,0.001400,65,0.001466
DY-HB,28,0.750000,0.429919,0.001400,56,0.001465
E2-ADMM,28,0.750000,1.093759,0.001400,139,0.001466
E2-ADMM-Nest,28,0.750000,0.520825,0.001400,66,0.001465
E2-ADMM-HB,28,0.750000,0.413163,0.001400,51,0.001466
E-ADMM,28,0.750000,1.143335,0.001400,150,0.001466
E-ADMM-Nest,28,0.750000,0.479617,0.001400,62,0.001465
E-ADMM-HB,28,0.750000,0.407002,0.001400,50,0.001466
DY,28,0.500000,2.288967,0.002180,307,0.002480
DY-Nest,28,0.500000,0.772098,0.002180,104,0.002480
DY-HB,28,0.500000,0.596547,0.002180,79,0.002480
E2-ADMM,28,0.500000,2.273002,0.002180,290,0.002480
E2-ADMM-Nest,28,0.500000,0.692010,0.002179,88,0.002479
E2-ADMM-HB,28,0.500000,0.665905,0.002180,83,0.002480
E-ADMM,28,0.500000,2.271632,0.002180,298,0.002480
E-ADMM-Nest,28,0.500000,0.716795,0.002179,93,0.002480
E-ADMM-HB,28,0.500000,0.545587,0.002180,70,0.002481
DY,28,0.250000,3.655267,0.004727,501,0.007825
DY-Nest,28,0.250000,1.331969,0.004686,182,0.006945
DY-HB,28,0.250000,0.719572,0.004685,97,0.006945
E2-ADMM,28,0.250000,3.919456,0.004748,501,0.007962
E2-ADMM-Nest,28,0.250000,1.294472,0.004685,165,0.006944
E2-ADMM-HB,28,0.250000,0.896030,0.004684,114,0.006939
E-ADMM,28,0.250000,3.800816,0.004749,501,0.008179
E-ADMM-Nest,28,0.250000,1.265518,0.004684,166,0.006937
E-ADMM-HB,28,0.250000,0.761503,0.004685,98,0.006941
DY,30,0.750000,1.602217,0.001426,208,0.003861
DY-Nest,30,0.750000,0.612024,0.001280,79,0.001342
DY-HB,30,0.750000,0.404710,0.001280,50,0.001342
E2-ADMM,30,0.750000,1.561534,0.001426,192,0.002660
E2-ADMM-Nest,30,0.750000,0.703450,0.001280,86,0.001342
E2-ADMM-HB,30,0.750000,0.558892,0.001280,67,0.001342
E-ADMM,30,0.750000,1.564464,0.001426,197,0.002758
E-ADMM-Nest,30,0.750000,0.595787,0.001280,75,0.001342
E-ADMM-HB,30,0.750000,0.433457,0.001280,53,0.001342
DY,30,0.500000,2.178524,0.001968,285,0.002266
DY-Nest,30,0.500000,0.621964,0.001967,80,0.002264
DY-HB,30,0.500000,0.638181,0.001968,82,0.002266
E2-ADMM,30,0.500000,2.212554,0.001968,273,0.002266
E2-ADMM-Nest,30,0.500000,0.791497,0.001967,97,0.002265
E2-ADMM-HB,30,0.500000,0.536674,0.001965,65,0.002265
E-ADMM,30,0.500000,2.239342,0.001968,283,0.002266
E-ADMM-Nest,30,0.500000,0.900088,0.001968,113,0.002266
E-ADMM-HB,30,0.500000,0.544495,0.001968,66,0.002266
DY,30,0.250000,3.858734,0.004349,501,0.006815
DY-Nest,30,0.250000,1.345661,0.004293,175,0.006612
DY-HB,30,0.250000,0.883079,0.004293,114,0.006613
E2-ADMM,30,0.250000,4.077883,0.004334,501,0.006730
E2-ADMM-Nest,30,0.250000,1.509808,0.004294,183,0.006616
E2-ADMM-HB,30,0.250000,1.044170,0.004294,128,0.006616
E-ADMM,30,0.250000,3.981236,0.004330,501,0.006715
E-ADMM-Nest,30,0.250000,1.277938,0.004299,159,0.006634
E-ADMM-HB,30,0.250000,1.018530,0.004294,128,0.006615
DY,32,0.750000,1.265899,0.001709,158,0.007037
DY-Nest,32,0.750000,0.672988,0.001149,83,0.001210
DY-HB,32,0.750000,0.455675,0.001149,55,0.001210
E2-ADMM,32,0.750000,1.629887,0.001280,193,0.003881
E2-ADMM-Nest,32,0.750000,0.777057,0.001149,92,0.001210
E2-ADMM-HB,32,0.750000,0.557981,0.001149,64,0.001210
E-ADMM,32,0.750000,1.614549,0.001280,196,0.003900
E-ADMM-Nest,32,0.750000,0.688791,0.001149,83,0.001210
E-ADMM-HB,32,0.750000,0.494851,0.001149,59,0.001210
